repository,url,owner,stars,last_updated
hasura/axiom,https://github.com/hasura/axiom,hasura,0,2025-03-22 01:38:19+00:00
opensource-observer/oso,https://github.com/opensource-observer/oso,opensource-observer,89,2025-03-21 22:36:12+00:00
neftielabs/neftie,https://github.com/neftielabs/neftie,neftielabs,5,2025-03-21 21:58:56+00:00
gazamba/nft-ticketing-dapp,https://github.com/gazamba/nft-ticketing-dapp,gazamba,0,2025-03-21 17:08:33+00:00
midl-xyz/liquity,https://github.com/midl-xyz/liquity,midl-xyz,0,2025-03-21 15:40:13+00:00
autonomys/faucet,https://github.com/autonomys/faucet,autonomys,3,2025-03-21 15:39:02+00:00
kleros/kleros-v2,https://github.com/kleros/kleros-v2,kleros,65,2025-03-20 22:50:00+00:00
1Hive/gardens-v2,https://github.com/1Hive/gardens-v2,1hive,18,2025-03-20 18:46:02+00:00
GainsNetwork-org/gtrade-stats-subgraph,https://github.com/GainsNetwork-org/gtrade-stats-subgraph,gainsnetwork-org,1,2025-03-20 17:11:11+00:00
karpatkey/gnosis-pay-rewards,https://github.com/karpatkey/gnosis-pay-rewards,karpatkey,0,2025-03-20 14:27:57+00:00
hashgraph/hedera-the-graph,https://github.com/hashgraph/hedera-the-graph,hashgraph,4,2025-03-20 05:14:05+00:00
hasura/anomaly-detection-ddn-plugin,https://github.com/hasura/anomaly-detection-ddn-plugin,hasura,0,2025-03-19 19:52:45+00:00
kleros/vea,https://github.com/kleros/vea,kleros,10,2025-03-19 13:46:18+00:00
exohood/exoswap-master-graph-node,https://github.com/exohood/exoswap-master-graph-node,exohood,5,2025-03-18 20:00:08+00:00
ampleforth/spot,https://github.com/ampleforth/spot,ampleforth,14,2025-03-14 17:39:17+00:00
apeharbour/battle-royale,https://github.com/apeharbour/battle-royale,apeharbour,0,2025-03-14 14:53:06+00:00
CamelotLabs/subgraphs,https://github.com/CamelotLabs/subgraphs,camelotlabs,0,2025-03-13 15:59:23+00:00
dhedge/dhedge-v2-subgraphs,https://github.com/dhedge/dhedge-v2-subgraphs,dhedge,3,2025-03-13 15:22:45+00:00
Aut-Labs/contracts,https://github.com/Aut-Labs/contracts,aut-labs,9,2025-03-13 12:46:30+00:00
funtend/contracts-suite,https://github.com/funtend/contracts-suite,funtend,0,2025-03-12 20:15:26+00:00
Arttribute/agent-commons,https://github.com/Arttribute/agent-commons,arttribute,1,2025-03-11 23:49:49+00:00
yashv19/ddn_sandbox,https://github.com/yashv19/ddn_sandbox,yashv19,0,2025-03-11 20:24:51+00:00
QuickSwap/QuickSwap-subgraph,https://github.com/QuickSwap/QuickSwap-subgraph,quickswap,26,2025-03-10 10:12:10+00:00
etherplay/conquest-eth,https://github.com/etherplay/conquest-eth,etherplay,7,2025-03-10 07:12:14+00:00
messari/subgraphs,https://github.com/messari/subgraphs,messari,527,2025-03-09 18:24:31+00:00
Norman2115/stake-and-snake,https://github.com/Norman2115/stake-and-snake,norman2115,0,2025-03-08 01:54:01+00:00
Hats-Protocol/subgraph-ancillary,https://github.com/Hats-Protocol/subgraph-ancillary,hats-protocol,0,2025-03-04 17:43:25+00:00
NVIDIA-ISAAC-ROS/gxf,https://github.com/NVIDIA-ISAAC-ROS/gxf,nvidia-isaac-ros,12,2025-02-28 01:47:16+00:00
greenlucid/raila,https://github.com/greenlucid/raila,greenlucid,1,2025-02-21 10:45:45+00:00
gnars-dao/gnars-frontend,https://github.com/gnars-dao/gnars-frontend,gnars-dao,12,2025-02-19 20:18:29+00:00
kleros/kleros-moderate,https://github.com/kleros/kleros-moderate,kleros,11,2025-02-19 18:22:28+00:00
betfinio/roulette-shared,https://github.com/betfinio/roulette-shared,betfinio,0,2025-02-17 10:03:59+00:00
piplabs/story-dex-swaps,https://github.com/piplabs/story-dex-swaps,piplabs,0,2025-02-10 19:03:31+00:00
Neca-development/commer-blockchain,https://github.com/Neca-development/commer-blockchain,neca-development,0,2025-02-09 08:47:55+00:00
star8ks/poemwiki-subgraph,https://github.com/star8ks/poemwiki-subgraph,star8ks,0,2025-02-07 19:44:15+00:00
show-karma/subgraph-dao-delegates-optimism,https://github.com/show-karma/subgraph-dao-delegates-optimism,show-karma,0,2025-02-07 16:09:39+00:00
ourzora/nouns-builder,https://github.com/ourzora/nouns-builder,ourzora,100,2025-02-06 14:10:59+00:00
0xMillz/nouns-builder,https://github.com/0xMillz/nouns-builder,0xmillz,0,2025-02-06 06:42:29+00:00
hoprnet/hopr-devrel,https://github.com/hoprnet/hopr-devrel,hoprnet,1,2025-02-04 14:41:18+00:00
lilnounsDAO/lilnouns-monorepo,https://github.com/lilnounsDAO/lilnouns-monorepo,lilnounsdao,49,2025-01-21 01:29:53+00:00
DeograciousAggrey/Safire_Insurance,https://github.com/DeograciousAggrey/Safire_Insurance,deograciousaggrey,0,2025-01-16 04:38:55+00:00
rickydata-indexer/curator_agent,https://github.com/rickydata-indexer/curator_agent,rickydata-indexer,1,2025-01-03 14:39:37+00:00
Kredeum/kredeum,https://github.com/Kredeum/kredeum,kredeum,12,2024-12-31 13:56:42+00:00
cowprotocol/subgraph,https://github.com/cowprotocol/subgraph,cowprotocol,4,2024-12-18 17:08:23+00:00
Maxim280596/street-cred-subgraph,https://github.com/Maxim280596/street-cred-subgraph,maxim280596,0,2024-12-17 08:27:15+00:00
jamiebones/crowd_funding_subgraph,https://github.com/jamiebones/crowd_funding_subgraph,jamiebones,0,2024-12-16 07:28:52+00:00
hooperben/matesraffle,https://github.com/hooperben/matesraffle,hooperben,0,2024-12-09 22:19:44+00:00
Koders-Krypto/meme-agent-subgraph,https://github.com/Koders-Krypto/meme-agent-subgraph,koders-krypto,1,2024-12-08 07:28:53+00:00
lokeshwaran100/coinswipe,https://github.com/lokeshwaran100/coinswipe,lokeshwaran100,1,2024-12-08 06:30:37+00:00
rk-rishikesh/SecondSaturday,https://github.com/rk-rishikesh/SecondSaturday,rk-rishikesh,0,2024-12-07 22:06:59+00:00
Raylin51/solana-substream,https://github.com/Raylin51/solana-substream,raylin51,0,2024-11-29 14:27:50+00:00
Phi-NB/substreams-inj,https://github.com/Phi-NB/substreams-inj,phi-nb,0,2024-11-29 09:00:45+00:00
DePerp/dswap-subgraph,https://github.com/DePerp/dswap-subgraph,deperp,0,2024-11-27 10:40:04+00:00
jcsome/ExerciseWeb3,https://github.com/jcsome/ExerciseWeb3,jcsome,0,2024-11-26 09:53:48+00:00
africarare/marketplace-subgraph,https://github.com/africarare/marketplace-subgraph,africarare,0,2024-11-22 06:37:09+00:00
jasonkwm/crop-cash,https://github.com/jasonkwm/crop-cash,jasonkwm,0,2024-11-17 01:53:30+00:00
0xethay/ethay-subgraph,https://github.com/0xethay/ethay-subgraph,0xethay,0,2024-11-17 00:52:56+00:00
kuyen-labs/fuulfactory-subgraph,https://github.com/kuyen-labs/fuulfactory-subgraph,kuyen-labs,0,2024-11-14 20:30:48+00:00
yoms07/Crowdfuding-Dapps,https://github.com/yoms07/Crowdfuding-Dapps,yoms07,0,2024-11-12 10:05:43+00:00
magma-fi/subgraph,https://github.com/magma-fi/subgraph,magma-fi,0,2024-11-11 11:42:25+00:00
memetaverseproject/memetaverse-subgraph,https://github.com/memetaverseproject/memetaverse-subgraph,memetaverseproject,0,2024-11-09 03:47:17+00:00
dipanshuhappy/commeme,https://github.com/dipanshuhappy/commeme,dipanshuhappy,0,2024-11-08 00:42:41+00:00
ragingrahul/EarthCommons,https://github.com/ragingrahul/EarthCommons,ragingrahul,0,2024-11-06 16:17:59+00:00
jaishana25/StakeLearn-,https://github.com/jaishana25/StakeLearn-,jaishana25,0,2024-11-04 11:12:23+00:00
ashishlal2003/FedBlocks,https://github.com/ashishlal2003/FedBlocks,ashishlal2003,0,2024-11-04 09:31:16+00:00
hudsonhrh/Breadchain-subgraph,https://github.com/hudsonhrh/Breadchain-subgraph,hudsonhrh,0,2024-10-23 23:35:01+00:00
chmllr/imtbl,https://github.com/chmllr/imtbl,chmllr,4,2024-10-20 14:47:08+00:00
arnoob25/rahee_api,https://github.com/arnoob25/rahee_api,arnoob25,0,2024-10-20 03:07:43+00:00
taikoxyz/boilerplate-rps-game,https://github.com/taikoxyz/boilerplate-rps-game,taikoxyz,0,2024-10-18 15:02:28+00:00
ZChain-168168/ZChains-Dex-Dapp,https://github.com/ZChain-168168/ZChains-Dex-Dapp,zchain-168168,0,2024-10-18 03:46:47+00:00
jayanth343/iiot-hub,https://github.com/jayanth343/iiot-hub,jayanth343,0,2024-10-17 05:50:42+00:00
XORD-one/Vulgate-Tasks,https://github.com/XORD-one/Vulgate-Tasks,xord-one,2,2024-10-14 13:31:08+00:00
hasura/ddn-examples,https://github.com/hasura/ddn-examples,hasura,0,2024-10-10 18:48:23+00:00
msolorio/hasura_project,https://github.com/msolorio/hasura_project,msolorio,0,2024-10-10 01:29:48+00:00
DIGITALAX/digitalax-contracts,https://github.com/DIGITALAX/digitalax-contracts,digitalax,36,2024-10-09 19:14:53+00:00
DIGITALAX/OpenAction-Contract-Library,https://github.com/DIGITALAX/OpenAction-Contract-Library,digitalax,0,2024-10-09 19:08:33+00:00
anagh162/graph,https://github.com/anagh162/graph,anagh162,0,2024-10-08 18:09:35+00:00
npereira33/nickpgraph,https://github.com/npereira33/nickpgraph,npereira33,0,2024-10-08 17:50:59+00:00
zytieren2/zyt_repo,https://github.com/zytieren2/zyt_repo,zytieren2,0,2024-10-08 17:47:59+00:00
drw-fan/drw-fan-graph,https://github.com/drw-fan/drw-fan-graph,drw-fan,0,2024-10-08 14:14:29+00:00
andrew-erickson/andrew-erickson-graph,https://github.com/andrew-erickson/andrew-erickson-graph,andrew-erickson,0,2024-10-08 14:02:14+00:00
izana-dev/subgraph,https://github.com/izana-dev/subgraph,izana-dev,0,2024-10-08 07:08:47+00:00
saniksin/practice_5,https://github.com/saniksin/practice_5,saniksin,0,2024-10-06 17:13:10+00:00
GitTM527/subgrapghql_ERC20,https://github.com/GitTM527/subgrapghql_ERC20,gittm527,0,2024-10-06 00:24:28+00:00
RahmanC/airdrop-token-subgraph,https://github.com/RahmanC/airdrop-token-subgraph,rahmanc,0,2024-10-05 05:48:09+00:00
VerisLabs/unlockdv2_subgraph,https://github.com/VerisLabs/unlockdv2_subgraph,verislabs,0,2024-10-04 16:26:49+00:00
kumu-G/NFTMarketHub,https://github.com/kumu-G/NFTMarketHub,kumu-g,1,2024-10-01 16:01:24+00:00
dapplooker/subgraph-analytics,https://github.com/dapplooker/subgraph-analytics,dapplooker,3,2024-09-25 08:49:44+00:00
Ahmedborwin/ALVO,https://github.com/Ahmedborwin/ALVO,ahmedborwin,0,2024-09-24 07:40:34+00:00
hironate/dohodl.xyz,https://github.com/hironate/dohodl.xyz,hironate,1,2024-09-23 11:45:01+00:00
bernardev254/aavesubgraph,https://github.com/bernardev254/aavesubgraph,bernardev254,0,2024-09-21 08:44:22+00:00
pinax-network/subgraph-alien-worlds,https://github.com/pinax-network/subgraph-alien-worlds,pinax-network,0,2024-09-16 15:18:52+00:00
jac0x/erc20-balance-snapshot,https://github.com/jac0x/erc20-balance-snapshot,jac0x,0,2024-09-14 04:15:59+00:00
minhnhathoang/multi-subgraph,https://github.com/minhnhathoang/multi-subgraph,minhnhathoang,0,2024-09-13 07:08:55+00:00
DODOEX/dodoex_v2_subgraph,https://github.com/DODOEX/dodoex_v2_subgraph,dodoex,39,2024-09-13 03:27:07+00:00
