repository,url,owner,stars,last_updated
propeller-heads/tycho-protocol-sdk,https://github.com/propeller-heads/tycho-protocol-sdk,propeller-heads,18,2025-03-21 15:58:27+00:00
teller-protocol/teller-protocol-v2,https://github.com/teller-protocol/teller-protocol-v2,teller-protocol,15,2025-03-21 14:37:40+00:00
geobrowser/geogenesis,https://github.com/geobrowser/geogenesis,geobrowser,24,2025-03-20 20:43:46+00:00
jiasenwqbr/dapp-tools,https://github.com/jiasenwqbr/dapp-tools,jiasenwqbr,1,2025-03-20 08:37:19+00:00
pinax-network/firehose-antelope,https://github.com/pinax-network/firehose-antelope,pinax-network,10,2025-03-17 11:49:03+00:00
skimaharvey/graph-node,https://github.com/skimaharvey/graph-node,skimaharvey,1,2025-03-17 05:50:14+00:00
amanzeniq/graph-node-zeniq,https://github.com/amanzeniq/graph-node-zeniq,amanzeniq,0,2025-03-17 02:43:26+00:00
danvaneijck/substreams-inj,https://github.com/danvaneijck/substreams-inj,danvaneijck,0,2025-03-16 20:25:14+00:00
SohZHong/thegraph-examples,https://github.com/SohZHong/thegraph-examples,sohzhong,1,2025-03-11 15:51:44+00:00
saurabhburade/substream-eth-blobs,https://github.com/saurabhburade/substream-eth-blobs,saurabhburade,0,2025-03-09 05:48:33+00:00
Topledger/solana-programs,https://github.com/Topledger/solana-programs,topledger,53,2025-03-07 12:15:50+00:00
jbernardic/solana-dex-trades,https://github.com/jbernardic/solana-dex-trades,jbernardic,2,2025-03-06 08:01:59+00:00
iamenochchirima/pump-fun,https://github.com/iamenochchirima/pump-fun,iamenochchirima,0,2025-03-04 20:48:42+00:00
PaulieB14/jupiter-dex,https://github.com/PaulieB14/jupiter-dex,paulieb14,1,2025-02-27 14:26:59+00:00
pinax-network/substreams-raw-blocks,https://github.com/pinax-network/substreams-raw-blocks,pinax-network,2,2025-02-24 19:01:37+00:00
gabrielantonyxaviour/robinx,https://github.com/gabrielantonyxaviour/robinx,gabrielantonyxaviour,0,2025-02-20 21:22:51+00:00
harishraisinghani/substreams-evm-tokens-example,https://github.com/harishraisinghani/substreams-evm-tokens-example,harishraisinghani,0,2025-02-20 00:10:37+00:00
mangas/substreams-contracts-index,https://github.com/mangas/substreams-contracts-index,mangas,0,2025-02-01 19:17:35+00:00
gldeng/substreams-aelf-tokens,https://github.com/gldeng/substreams-aelf-tokens,gldeng,0,2025-01-15 14:37:12+00:00
khiem20tc/the-graph-evm,https://github.com/khiem20tc/the-graph-evm,khiem20tc,0,2025-01-06 18:05:25+00:00
ry0suke17/substreams-example,https://github.com/ry0suke17/substreams-example,ry0suke17,0,2024-12-23 06:14:10+00:00
perspectivefi/vision-sps,https://github.com/perspectivefi/vision-sps,perspectivefi,0,2024-12-15 16:57:38+00:00
dhananjaypai08/Zk-OS,https://github.com/dhananjaypai08/Zk-OS,dhananjaypai08,1,2024-12-09 10:22:42+00:00
0xpcut/solana-indexer,https://github.com/0xpcut/solana-indexer,0xpcut,50,2024-12-09 03:16:03+00:00
0xpcut/solana-substreams,https://github.com/0xpcut/solana-substreams,0xpcut,56,2024-12-09 03:11:28+00:00
0xpcut/substreams-solana-utils,https://github.com/0xpcut/substreams-solana-utils,0xpcut,5,2024-12-09 02:11:00+00:00
askwhyharsh/bondedSolver,https://github.com/askwhyharsh/bondedSolver,askwhyharsh,0,2024-12-07 19:15:56+00:00
lostconversation/substreams-sol-voting-stream,https://github.com/lostconversation/substreams-sol-voting-stream,lostconversation,0,2024-12-04 22:21:51+00:00
chidubemokeke/CryptoCoven-SPS,https://github.com/chidubemokeke/CryptoCoven-SPS,chidubemokeke,0,2024-12-01 03:23:15+00:00
verified-network/verified-substreams,https://github.com/verified-network/verified-substreams,verified-network,0,2024-11-30 04:40:57+00:00
Raylin51/solana-substream,https://github.com/Raylin51/solana-substream,raylin51,0,2024-11-29 14:27:50+00:00
Phi-NB/substreams-inj,https://github.com/Phi-NB/substreams-inj,phi-nb,0,2024-11-29 09:00:45+00:00
DerZwergGimli/substreams-solana-staratlas-gm,https://github.com/DerZwergGimli/substreams-solana-staratlas-gm,derzwerggimli,0,2024-11-28 09:57:20+00:00
